X,Y,Z
2114.89,1489.41,1
2080.85,1399.41,1
2046.81,1309.41,1
2012.77,1288.24,1
1978.72,1267.06,1
1944.68,1293.53,1
1910.64,1320.0,1
1936.17,1298.82,0
1961.7,1277.65,1
1940.43,1320.0,1
1919.15,1362.35,1
1910.64,1399.41,1
1902.13,1436.47,1
1897.87,1478.82,1
1893.62,1521.18,1
1893.62,1558.24,1
1893.62,1595.29,1
1897.87,1632.35,1
1902.13,1669.41,1
1914.89,1711.76,1
1927.66,1754.12,1
1944.68,1796.47,1
1961.7,1838.82,1
1991.49,1886.47,1
2021.28,1934.12,1
1885.11,1674.71,0
1748.94,1415.29,1
1782.98,1325.29,1
1817.02,1235.29,1
1846.81,1198.24,1
1876.6,1161.18,1
1910.64,1150.59,1
1944.68,1140.0,1
1978.72,1140.0,1
2012.77,1140.0,1
2046.81,1150.59,1
2080.85,1161.18,1
2114.89,1187.65,1
2148.94,1214.12,1
2187.23,1261.76,1
2225.53,1309.41,1
2280.85,1335.88,1
2336.17,1362.35,1
2370.21,1288.24,1
2404.26,1214.12,1
2438.3,1187.65,1
2472.34,1161.18,1
2506.38,1155.88,1
2540.43,1150.59,1
2570.21,1150.59,1
2600.0,1150.59,1
2634.04,1150.59,1
2668.09,1150.59,1
2702.13,1150.59,1
2736.17,1150.59,1
2748.94,1177.06,1
2761.7,1203.53,1
2753.19,1245.88,1
2744.68,1288.24,1
2748.94,1330.59,1
2753.19,1372.94,1
2757.45,1383.53,0
2761.7,1394.12,1
2727.66,1335.88,1
2693.62,1277.65,1
2655.32,1256.47,1
2617.02,1235.29,1
2587.23,1256.47,1
2557.45,1277.65,1
2523.4,1335.88,1
2489.36,1394.12,1
2519.15,1330.59,0
2548.94,1267.06,1
2523.4,1304.12,1
2497.87,1341.18,1
2485.11,1388.82,1
2472.34,1436.47,1
2468.09,1478.82,1
2463.83,1521.18,1
2463.83,1568.82,1
2463.83,1616.47,1
2463.83,1664.12,1
2463.83,1711.76,1
2468.09,1754.12,1
2472.34,1796.47,1
2485.11,1838.82,1
2497.87,1881.18,1
2570.21,1886.47,0
2642.55,1891.76,1
2646.81,1849.41,1
2651.06,1807.06,1
2651.06,1770.0,1
2651.06,1732.94,1
2655.32,1690.59,1
2659.57,1648.24,1
2651.06,1600.59,1
2642.55,1552.94,1
2629.79,1510.59,1
2617.02,1468.24,1
2659.57,1410.0,0
2702.13,1351.76,1
2646.81,1309.41,1
2591.49,1267.06,1
2536.17,1208.82,0
2480.85,1150.59,1
2438.3,1192.94,1
2395.74,1235.29,1
2382.98,1282.94,1
2370.21,1330.59,1
2353.19,1372.94,1
2336.17,1415.29,1
2331.91,1462.94,1
2327.66,1510.59,1
2327.66,1552.94,1
2327.66,1595.29,1
2327.66,1637.65,1
2327.66,1680.0,1
2327.66,1717.06,1
2327.66,1754.12,1
2331.91,1796.47,1
2336.17,1838.82,1
2353.19,1891.76,1
2370.21,1944.71,1
2391.49,1992.35,1
2412.77,2040.0,1
2459.57,2077.06,1
2506.38,2114.12,1
2310.64,1997.65,0
2114.89,1881.18,1
2119.15,1833.53,1
2123.4,1785.88,1
2127.66,1743.53,1
2131.91,1701.18,1
2127.66,1653.53,1
2123.4,1605.88,1
2123.4,1563.53,1
2123.4,1521.18,1
2106.38,1473.53,1
2089.36,1425.88,1
2072.34,1383.53,1
2055.32,1341.18,1
2025.53,1298.82,1
1995.74,1256.47,1
1953.19,1203.53,0
1910.64,1150.59,1
1863.83,1192.94,1
1817.02,1235.29,1
1800.0,1277.65,1
1782.98,1320.0,1
1770.21,1357.06,1
1757.45,1394.12,1
1753.19,1441.76,1
1748.94,1489.41,1
1748.94,1531.76,1
1748.94,1574.12,1
1748.94,1616.47,1
1748.94,1658.82,1
1748.94,1701.18,1
1748.94,1743.53,1
1753.19,1785.88,1
1757.45,1828.24,1
1774.47,1865.29,1
1791.49,1902.35,1
1812.77,1950.0,1
1834.04,1997.65,1
1885.11,2040.0,1
1936.17,2082.35,1
1800.0,2130.0,0
1663.83,2177.65,1
1659.57,2135.29,1
1655.32,2092.94,1
1655.32,2050.59,1
1655.32,2008.24,1
1655.32,1960.59,1
1655.32,1912.94,1
1659.57,1870.59,1
1663.83,1828.24,1
1663.83,1785.88,1
1663.83,1743.53,1
1663.83,1701.18,1
1663.83,1658.82,1
1663.83,1621.76,1
1663.83,1584.71,1
